offerdate,sold_premium,offered_premium,purchase_price,purchase_date,item age,pricing_point,predictedconversionrate,plan_flag,plan_count,plansactive_lastyear_count,planscancelled_lastyear_count,claims_count,claim_amount,price_diff,IsModel,sale_flag,base_rate,manufacturerbrandname_enc,itemcategoryname_enc,itemsupercategorycode_enc
06/03/2023,,42.6,493.68,04/06/2022,275,ASIS FEE,1,0,0,0,0,,,0,No,0,42.6,89,11,1
15/03/2023,,48.12,300,11/03/2023,4,@23%,0.14,0,0,0,0,0,0,0.16909621,Yes,0,41.16,129,24,2
24/03/2023,,110.52,867.86,28/12/2022,86,@23%,0.34,0,0,2,2,2,726.32,0.299012694,Yes,0,85.08,107,36,4
28/02/2023,,47.76,719,14/02/2023,14,@23%,0.1,0,0,0,0,0,0,0.236024845,Yes,0,38.64,12,24,2
20/03/2023,,43.32,1200,20/03/2023,0,@22%,0.15,0,0,0,0,0,0,0.087349398,Yes,0,39.84,85,19,2
07/03/2023,53.4,53.4,349,08/02/2023,27,@22%,0.25,0,0,1,1,3,292.53,0.161879896,Yes,1,45.96,127,11,1
11/03/2023,,69.72,350,11/03/2023,0,@22%,0.19,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
26/03/2023,,87.96,200,05/03/2023,21,@22%,0.22,0,0,0,0,,,0.29964539,Yes,0,67.68,57,37,4
12/04/2023,,72.24,309,12/04/2023,0,@22%,0.15,0,0,0,0,0,0,0.135849057,Yes,0,63.6,57,37,4
13/03/2023,,48.24,640,08/03/2023,5,@23%,0.14,0,0,0,0,0,0,0.151862464,Yes,0,41.88,57,8,2
03/03/2023,,34.68,239.99,28/02/2023,3,ASIS FEE,1,0,0,0,0,0,0,0,No,0,34.68,86,32,13
21/03/2023,,42.6,459,01/03/2023,20,ASIS FEE,1,0,0,0,0,0,0,0,No,0,42.6,12,11,1
19/04/2023,,48.12,410.65,15/04/2023,4,@22%,0.09,0,0,0,0,0,0,0.066489362,Yes,0,45.12,50,16,12
02/03/2023,,48.12,545,15/02/2023,15,@22%,0.29,0,0,1,1,0,0,0.095628415,Yes,0,43.92,129,14,12
07/04/2023,,72.24,650,07/03/2023,31,@23%,0.11,0,0,0,0,0,0,0.142314991,Yes,0,63.24,87,8,2
25/03/2023,,48.12,400,17/03/2023,8,@23%,0.13,0,0,0,0,0,0,-0.012315271,Yes,0,48.72,57,12,4
06/03/2023,43.8,43.8,337,06/03/2023,0,ASIS FEE,1,1,1,1,0,,,0,No,1,43.8,1,8,2
06/03/2023,32.52,32.52,979.79,06/03/2023,0,@22%,0.12,0,0,0,0,0,0,-0.122977346,Yes,1,37.08,0,25,2
15/03/2023,56.16,56.16,315,15/03/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,1,56.16,16,8,2
20/04/2023,,69.72,314.95,17/04/2023,3,@22%,0.17,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
28/03/2023,,69.48,300,28/03/2023,0,@22%,0.36,1,1,1,0,,,0.16498994,Yes,0,59.64,62,37,4
25/03/2023,,47.76,309,25/03/2023,0,@23%,0.11,0,0,0,0,0,0,0.198795181,Yes,0,39.84,7,11,1
07/03/2023,48.72,48.72,305.38,11/11/2021,481,ASIS FEE,1,0,0,0,0,0,0,0,No,1,48.72,57,12,4
07/04/2023,34.92,34.92,279,10/02/2023,56,@23%,0.11,0,0,0,0,0,0,-0.026755853,Yes,1,35.88,7,25,2
13/03/2023,,69.72,280,11/03/2023,2,@22%,0.14,0,0,0,0,0,0,0.19301848,Yes,0,58.44,56,37,4
22/03/2023,,69.48,1200,15/03/2023,7,@22%,0.11,0,0,0,0,0,0,-0.030150754,Yes,0,71.64,74,16,12
06/04/2023,,72.12,399,05/04/2023,1,@22%,0.1,0,0,0,0,0,0,0.131826742,Yes,0,63.72,7,37,4
16/03/2023,,72.12,305.37,11/03/2023,5,@22%,0.12,0,0,0,0,0,0,0.084837545,Yes,0,66.48,56,37,4
08/03/2023,,69.72,289.99,08/03/2023,0,@23%,0.1,0,0,0,0,0,0,0.094161959,Yes,0,63.72,7,37,4
09/03/2023,,45.72,200,08/03/2023,1,@23%,0.49,1,2,2,0,1,103.85,0.295918367,Yes,0,35.28,57,19,2
31/03/2023,,45.72,200,03/04/2022,362,@22%,0.83,1,5,13,0,5,418.47,0.295918367,Yes,0,35.28,57,19,2
08/03/2023,,69.72,350,08/02/2023,28,@22%,0.23,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
28/02/2023,,53.4,300,15/02/2023,13,@23%,0.11,0,0,0,0,0,0,0.253521127,Yes,0,42.6,7,16,12
16/03/2023,69.72,69.72,323.94,15/03/2023,1,@23%,0.17,0,0,0,0,0,0,0.048736462,Yes,1,66.48,17,37,4
10/03/2023,,53.4,305.38,12/12/2022,88,@22%,0.17,0,0,0,0,0,0,0.096059113,Yes,0,48.72,57,12,4
31/03/2023,,69.72,833,30/03/2023,1,@22%,0.07,0,0,0,0,0,0,0.188139059,Yes,0,58.68,125,18,5
06/04/2023,,69.72,319,14/03/2023,23,@23%,0.17,0,0,0,0,,,0.096226415,Yes,0,63.6,57,37,4
15/04/2023,,37.68,429,14/04/2023,1,@22%,0.09,0,0,0,0,0,0,-0.054216867,Yes,0,39.84,7,14,12
27/03/2023,,26.88,300,24/01/2023,62,@23%,0.21,0,0,0,0,0,0,0.013574661,Yes,0,26.52,0,19,2
21/03/2023,,34.92,266,21/03/2023,0,@23%,0.12,0,0,0,0,0,0,0.006920415,Yes,0,34.68,7,14,12
25/03/2023,48.12,48.12,300,18/02/2023,35,@23%,0.41,1,1,2,1,,,0.297734628,Yes,1,37.08,129,19,2
03/04/2023,,72.24,800,23/03/2023,11,@22%,0.13,0,0,0,0,0,0,0.231083845,Yes,0,58.68,30,18,5
06/04/2023,,53.4,286,06/04/2023,0,@22%,0.11,0,0,0,0,0,0,0.115288221,Yes,0,47.88,56,12,4
20/03/2023,,72,299,16/03/2023,4,@23%,0.04,0,0,0,0,,,0.298701299,Yes,0,55.44,98,34,3
14/03/2023,,32.64,100,14/03/2023,0,@22%,0.21,0,0,0,0,0,0,-0.025089606,Yes,0,33.48,93,29,2
08/03/2023,,47.76,200,09/03/2023,-1,@22%,0.11,0,0,0,0,0,0,-0.045563549,Yes,0,50.04,62,12,4
23/03/2023,,35.52,800,01/03/2023,22,@22%,0.12,0,0,0,0,0,0,0.112781955,Yes,0,31.92,12,19,2
11/04/2023,,19.92,300,03/04/2023,8,@23%,0.14,0,0,0,0,0,0,-0.248868778,Yes,0,26.52,129,19,2
28/03/2023,,48.12,244.34,28/03/2023,0,@22%,0.06,0,0,0,0,0,0,0.16909621,Yes,0,41.16,7,12,4
27/03/2023,,66.48,400,27/03/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,0,66.48,56,37,4
11/03/2023,,69.72,300,11/03/2023,0,@23%,0.17,0,0,0,0,0,0,0.169014085,Yes,0,59.64,57,37,4
22/03/2023,,44.28,372.38,21/03/2023,1,@23%,0.15,0,0,0,0,0,0,-0.165158371,Yes,0,53.04,11,37,4
22/03/2023,,53.4,350,20/11/2022,122,@22%,0.32,0,0,1,1,1,60,0.219178082,Yes,0,43.8,19,25,2
13/03/2023,32.52,32.52,339.99,10/03/2023,3,@23%,0.2,0,0,0,0,0,0,-0.062283737,Yes,1,34.68,34,9,2
17/03/2023,,48.12,300,20/02/2023,25,@23%,0.08,0,0,0,0,0,0,0.245341615,Yes,0,38.64,12,24,2
08/03/2023,,34.92,280,08/03/2023,0,@22%,0.12,0,0,0,0,0,0,0.006920415,Yes,0,34.68,7,14,12
03/03/2023,47.64,47.64,300,16/02/2023,15,@23%,0.61,1,5,8,3,0,0,0.064343164,Yes,1,44.76,62,25,2
27/03/2023,,47.76,324.07,27/03/2023,0,@22%,0.11,0,0,0,0,,,-0.054631829,Yes,0,50.52,56,16,12
02/04/2023,,32.4,679.99,31/03/2023,2,@23%,0.2,0,0,0,0,0,0,-0.065743945,Yes,0,34.68,34,9,2
08/04/2023,,32.4,654,17/12/2022,112,@22%,0.24,0,0,0,0,0,0,-0.065743945,Yes,0,34.68,111,9,2
19/04/2023,,48.12,300,19/03/2023,31,@22%,0.23,0,0,0,0,0,0,0.083783784,Yes,0,44.4,16,16,12
31/03/2023,,56.64,300,31/03/2023,0,@23%,0.25,0,0,0,0,0,0,-0.197278912,Yes,0,70.56,16,37,4
10/03/2023,,51.72,360,09/03/2023,1,@23%,0.07,0,0,0,0,0,0,0.298192771,Yes,0,39.84,7,14,12
14/03/2023,,69.72,450,14/03/2023,0,@23%,0.21,0,0,0,0,0,0,0.030141844,Yes,0,67.68,57,37,4
06/04/2023,,56.52,239,02/04/2023,4,@23%,0.18,0,0,0,0,0,0,-0.052313883,Yes,0,59.64,62,37,4
05/04/2023,,49.68,549,15/12/2022,111,@22%,0.15,0,0,0,0,0,0,0.069767442,Yes,0,46.44,74,16,12
02/03/2023,,69.72,333.21,25/01/2023,36,@23%,0.25,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
04/03/2023,45,45,400,19/02/2023,13,@22%,0.25,1,1,3,2,1,140,0.297577855,Yes,1,34.68,86,32,13
13/03/2023,72.12,72.12,300,02/03/2023,11,@22%,0.15,0,0,0,0,0,0,0.178431373,Yes,1,61.2,129,37,4
23/03/2023,53.4,53.4,329,22/03/2023,1,@22%,0.08,0,0,0,0,0,0,0.115288221,Yes,1,47.88,56,12,4
22/03/2023,,48.12,285,22/03/2023,0,@23%,0.12,0,0,0,0,0,0,-0.012315271,Yes,0,48.72,62,12,4
23/03/2023,,45,145,02/03/2023,21,@22%,0.13,0,0,0,0,,,0.297577855,Yes,0,34.68,86,32,13
20/03/2023,,53.04,320,20/03/2023,0,@23%,0.26,1,1,1,0,0,0,-0.075313808,Yes,0,57.36,16,11,1
13/03/2023,,53.4,549,27/02/2023,14,@22%,0.17,0,0,0,0,0,0,0.183510638,Yes,0,45.12,129,25,2
06/03/2023,,53.4,260,05/03/2023,1,@22%,0.07,0,0,0,0,0,0,0.215846995,Yes,0,43.92,7,16,12
01/03/2023,,43.8,180,01/03/2023,0,@23%,0.2,0,0,0,0,0,0,-0.203056769,Yes,0,54.96,16,37,4
29/03/2023,34.92,34.92,1200,24/03/2023,5,@23%,0.16,0,0,0,0,0,0,0.006920415,Yes,1,34.68,0,24,2
12/03/2023,,32.16,199,02/03/2023,10,@22%,0.13,0,0,0,0,0,0,-0.132686084,Yes,0,37.08,74,4,0
21/03/2023,,34.44,300,28/02/2023,21,@22%,0.16,0,0,0,0,0,0,0.298642534,Yes,0,26.52,0,19,2
11/04/2023,,48.12,400,02/04/2023,9,@23%,0.11,0,0,0,0,0,0,-0.019559902,Yes,0,49.08,7,16,12
31/03/2023,,69,459,31/03/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,0,69,57,36,4
25/03/2023,,150,1200,25/03/2023,0,@22%,0.23,1,1,2,1,2,885,0,Yes,0,150,74,34,3
30/03/2023,69.72,69.72,440,21/03/2023,9,@23%,0.15,0,0,0,0,0,0,0.143700787,Yes,1,60.96,127,36,4
21/03/2023,52.68,52.68,369.99,21/03/2023,0,@23%,0.1,0,0,0,0,0,0,0.073349633,Yes,1,49.08,7,16,12
07/04/2023,,48.12,389.99,07/04/2023,0,@22%,0.13,0,0,0,0,0,0,-0.092760181,Yes,0,53.04,56,16,12
23/04/2023,,48.12,739,18/04/2023,5,@22%,0.14,0,0,0,0,0,0,0.148997135,Yes,0,41.88,57,8,2
17/03/2023,,87.96,1200,04/03/2023,13,@22%,0.07,0,0,0,0,0,0,0.29964539,Yes,0,67.68,8,8,2
29/03/2023,62.28,62.28,699.99,28/09/2022,182,@23%,0.26,0,0,0,0,0,0,-0.086267606,Yes,1,68.16,117,34,3
03/03/2023,112.56,112.56,800,02/01/2023,60,@23%,0.2,0,0,0,0,0,0,0.299168975,Yes,1,86.64,107,34,3
06/04/2023,,69.72,347.59,01/04/2023,5,@22%,0.2,0,0,0,0,0,0,0.096226415,Yes,0,63.6,62,37,4
19/04/2023,,26.16,299,19/04/2023,0,@23%,0.16,0,0,0,0,0,0,-0.060344828,Yes,0,27.84,89,9,2
05/03/2023,,86.4,401.68,10/01/2022,419,@22%,0.23,0,0,0,0,0,0,0.299638989,Yes,0,66.48,56,36,4
06/03/2023,,48.24,549,08/02/2023,26,@22%,0.12,0,0,0,0,0,0,0.069148936,Yes,0,45.12,0,11,1
30/03/2023,,53.4,481.94,30/03/2023,0,@23%,0.08,0,0,0,0,0,0,0.08801956,Yes,0,49.08,7,16,12
20/04/2023,,55.8,899,20/04/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,0,55.8,74,37,4
22/03/2023,,48.24,300,01/03/2023,21,@22%,0.08,0,0,0,0,0,0,0.248447205,Yes,0,38.64,56,15,12
03/04/2023,61.2,61.2,579,23/02/2023,39,ASIS FEE,1,0,0,0,0,0,0,0,No,1,61.2,0,37,4
01/04/2023,,48.12,499,01/04/2023,0,@23%,0.15,0,0,0,0,0,0,-0.092760181,Yes,0,53.04,7,37,4
03/04/2023,,49.68,249,08/03/2023,26,@23%,0.08,0,0,0,0,0,0,0.206997085,Yes,0,41.16,7,12,4
24/03/2023,,30.24,259.62,18/03/2023,6,@23%,0.12,0,0,0,0,0,0,-0.011764706,Yes,0,30.6,7,15,12
23/03/2023,,62.4,729,13/03/2023,10,ASIS FEE,1,0,0,0,0,0,0,0,No,0,62.4,85,37,4
11/04/2023,53.4,53.4,549.99,06/04/2023,5,@22%,0.11,0,0,0,0,0,0,0.037296037,Yes,1,51.48,57,11,1
12/04/2023,,48.24,339,11/04/2023,1,@22%,0.1,0,0,0,0,0,0,0.151862464,Yes,0,41.88,62,25,2
24/04/2023,,38.04,609.99,24/03/2023,31,@22%,0.19,0,0,0,0,0,0,0.096885813,Yes,0,34.68,0,19,2
24/03/2023,,36.6,200,24/03/2022,365,ASIS FEE,1,0,0,0,0,0,0,0,No,0,36.6,62,15,12
23/04/2023,,48.72,491.92,18/04/2023,5,ASIS FEE,1,0,0,0,0,0,0,0,No,0,48.72,57,12,4
18/03/2023,,48.12,329,18/03/2023,0,@22%,0.1,0,0,0,0,0,0,0.207831325,Yes,0,39.84,8,19,2
11/03/2023,45.12,45.12,549,25/02/2023,14,ASIS FEE,1,0,0,0,0,0,0,0,No,1,45.12,0,11,1
08/03/2023,48.24,48.24,300,07/03/2023,1,@22%,0.4,1,2,4,2,1,41.24,0.210843373,Yes,1,39.84,89,12,4
17/03/2023,,45.12,338,17/03/2021,730,ASIS FEE,1,0,0,0,0,0,0,0,No,0,45.12,12,37,4
10/03/2023,,47.76,564,09/03/2023,1,@23%,0.12,0,0,0,0,0,0,-0.144086022,Yes,0,55.8,129,25,2
05/04/2023,,48.12,275,01/04/2023,4,@23%,0.12,0,0,0,0,,,-0.116740088,Yes,0,54.48,7,37,4
27/03/2023,65.64,65.64,1200,18/01/2021,798,@22%,0.79,1,2,5,3,1,165.83,0.299287411,Yes,1,50.52,85,25,2
13/03/2023,,48.24,237.95,13/03/2023,0,@23%,0.2,0,0,0,0,0,0,-0.191146881,Yes,0,59.64,62,37,4
13/03/2023,,45.12,300,05/11/2022,128,ASIS FEE,1,0,0,0,0,0,0,0,No,0,45.12,21,16,12
07/04/2023,,69.72,350,01/04/2023,6,@22%,0.06,0,0,0,0,0,0,0.048736462,Yes,0,66.48,17,36,4
25/03/2023,,29.16,300,23/03/2023,2,@22%,0.22,0,0,0,0,0,0,-0.15916955,Yes,0,34.68,129,9,2
25/03/2023,,69.72,300,25/03/2022,365,@23%,0.34,0,0,0,0,0,0,0.136986301,Yes,0,61.32,16,12,4
04/03/2023,,49.68,400,04/12/2022,90,@23%,0.19,0,0,0,0,0,0,-0.037209302,Yes,0,51.6,45,16,12
04/03/2023,,52.8,586,04/03/2023,0,@22%,0.11,0,0,0,0,0,0,0.170212766,Yes,0,45.12,129,16,12
20/04/2023,112.56,112.56,1000,20/04/2022,365,@22%,0.5,1,3,4,1,2,172.49,0.299168975,Yes,1,86.64,107,34,3
29/03/2023,,27,259.62,11/03/2023,18,@23%,0.35,1,1,2,1,2,280,-0.117647059,Yes,0,30.6,7,15,12
19/04/2023,,48.12,380.3,19/04/2023,0,@22%,0.16,0,0,0,0,0,0,-0.092760181,Yes,0,53.04,11,37,4
16/03/2023,,48.12,419.99,16/03/2023,0,@23%,0.12,0,0,0,0,0,0,0.148997135,Yes,0,41.88,57,24,2
04/04/2023,,53.04,349.94,28/03/2023,7,@23%,0.13,0,0,0,0,0,0,0,Yes,0,53.04,11,37,4
13/03/2023,,56.64,329,13/03/2023,0,@22%,0.06,0,0,0,0,0,0,-0.01048218,Yes,0,57.24,74,34,3
07/04/2023,,32.4,310,27/03/2023,11,@23%,0.2,0,0,0,0,0,0,-0.126213592,Yes,0,37.08,129,19,2
28/03/2023,47.76,47.76,409.99,28/02/2023,28,@22%,0.33,1,1,1,0,,,-0.072261072,Yes,1,51.48,62,11,1
30/03/2023,,38.64,300,28/03/2023,2,ASIS FEE,1,0,0,0,0,0,0,0,No,0,38.64,34,25,2
05/04/2023,,50.16,324.86,03/04/2023,2,@22%,0.08,0,0,0,0,0,0,0.298136646,Yes,0,38.64,11,15,12
28/03/2023,,48.12,279.99,06/03/2023,22,@23%,0.17,0,0,0,0,0,0,0.075067024,Yes,0,44.76,129,9,2
17/03/2023,,48.12,829,10/03/2023,7,@23%,0.15,0,0,0,0,0,0,0.066489362,Yes,0,45.12,0,16,12
01/03/2023,,32.52,129,19/02/2023,10,@23%,0.18,0,0,0,0,0,0,-0.062283737,Yes,0,34.68,56,35,14
28/02/2023,,50.04,200,12/03/2023,-12,ASIS FEE,1,1,3,4,1,1,60,0,No,0,50.04,57,12,4
20/04/2023,,60.84,249,20/04/2023,0,@22%,0.1,0,0,0,0,0,0,0.116740088,Yes,0,54.48,7,37,4
20/03/2023,,48.12,599,16/03/2023,4,@22%,0.14,0,0,0,0,0,0,0.148997135,Yes,0,41.88,57,8,2
24/04/2023,,53.4,359,28/03/2023,27,@22%,0.06,0,0,0,0,0,0,0.08801956,Yes,0,49.08,7,12,4
